Model: boxes_aligned
Mesh: TriangleMesh with 392648 points and 588972 triangles.
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-0.89  0.36  0.  ]
Goal Point: [ 0.59 -0.57  0.  ]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.1 seconds
  Number of Paths: 100
  Average Path Length: 2.1988
  Shortest Path Length: 1.89
  Longest Path Length: 2.99
  Path Length Std Dev: 0.19098837660967752
  Average Time Per Path: 0.10869999999999999 seconds
  Time Per Path Std Dev: 0.04408298991674678 seconds

  Paths:
Planner: LazyPRM
  Status: Successful
  Total Time Taken: 25.38 seconds
  Number of Paths: 100
  Average Path Length: 3.7661
  Shortest Path Length: 2.43
  Longest Path Length: 7.34
  Path Length Std Dev: 0.8334037376926023
  Average Time Per Path: 0.25060000000000004 seconds
  Time Per Path Std Dev: 0.09017560645762246 seconds

  Paths:
    Path 1: Length = 2.79 units, Duration = 0.49 seconds
    Path 2: Length = 2.97 units, Duration = 0.39 seconds
    Path 3: Length = 3.71 units, Duration = 0.25 seconds
    Path 4: Length = 4.77 units, Duration = 0.17 seconds
    Path 5: Length = 3.91 units, Duration = 0.28 seconds
    Path 6: Length = 3.51 units, Duration = 0.31 seconds
    Path 7: Length = 4.29 units, Duration = 0.24 seconds
    Path 8: Length = 3.25 units, Duration = 0.15 seconds
    Path 9: Length = 3.59 units, Duration = 0.2 seconds
    Path 10: Length = 3.45 units, Duration = 0.17 seconds
    Path 11: Length = 3.15 units, Duration = 0.41 seconds
    Path 12: Length = 2.57 units, Duration = 0.16 seconds
    Path 13: Length = 3.28 units, Duration = 0.2 seconds
    Path 14: Length = 3.57 units, Duration = 0.21 seconds
    Path 15: Length = 2.6 units, Duration = 0.54 seconds
    Path 16: Length = 3.22 units, Duration = 0.2 seconds
    Path 17: Length = 4.05 units, Duration = 0.27 seconds
    Path 18: Length = 3.86 units, Duration = 0.32 seconds
    Path 19: Length = 3.74 units, Duration = 0.27 seconds
    Path 20: Length = 3.88 units, Duration = 0.28 seconds
    Path 21: Length = 3.75 units, Duration = 0.31 seconds
    Path 22: Length = 4.59 units, Duration = 0.16 seconds
    Path 23: Length = 5.76 units, Duration = 0.16 seconds
    Path 24: Length = 3.64 units, Duration = 0.26 seconds
    Path 25: Length = 6.16 units, Duration = 0.24 seconds
    Path 26: Length = 4.85 units, Duration = 0.12 seconds
    Path 27: Length = 3.34 units, Duration = 0.26 seconds
    Path 28: Length = 2.91 units, Duration = 0.25 seconds
    Path 29: Length = 3.48 units, Duration = 0.19 seconds
    Path 30: Length = 4.5 units, Duration = 0.22 seconds
    Path 31: Length = 3.53 units, Duration = 0.18 seconds
    Path 32: Length = 3.99 units, Duration = 0.2 seconds
    Path 33: Length = 3.22 units, Duration = 0.34 seconds
    Path 34: Length = 2.57 units, Duration = 0.33 seconds
    Path 35: Length = 4.11 units, Duration = 0.22 seconds
    Path 36: Length = 3.43 units, Duration = 0.21 seconds
    Path 37: Length = 2.88 units, Duration = 0.19 seconds
    Path 38: Length = 3.39 units, Duration = 0.28 seconds
    Path 39: Length = 5.15 units, Duration = 0.24 seconds
    Path 40: Length = 4.32 units, Duration = 0.14 seconds
    Path 41: Length = 3.95 units, Duration = 0.2 seconds
    Path 42: Length = 3.82 units, Duration = 0.21 seconds
    Path 43: Length = 5.74 units, Duration = 0.41 seconds
    Path 44: Length = 4.59 units, Duration = 0.58 seconds
    Path 45: Length = 3.9 units, Duration = 0.15 seconds
    Path 46: Length = 3.63 units, Duration = 0.27 seconds
    Path 47: Length = 4.09 units, Duration = 0.32 seconds
    Path 48: Length = 3.37 units, Duration = 0.53 seconds
    Path 49: Length = 2.82 units, Duration = 0.16 seconds
    Path 50: Length = 4.33 units, Duration = 0.26 seconds
    Path 51: Length = 3.42 units, Duration = 0.22 seconds
    Path 52: Length = 3.62 units, Duration = 0.19 seconds
    Path 53: Length = 3.7 units, Duration = 0.16 seconds
    Path 54: Length = 3.4 units, Duration = 0.14 seconds
    Path 55: Length = 3.65 units, Duration = 0.15 seconds
    Path 56: Length = 5.41 units, Duration = 0.27 seconds
    Path 57: Length = 3.12 units, Duration = 0.19 seconds
    Path 58: Length = 2.46 units, Duration = 0.3 seconds
    Path 59: Length = 3.68 units, Duration = 0.29 seconds
    Path 60: Length = 3.6 units, Duration = 0.23 seconds
    Path 61: Length = 3.99 units, Duration = 0.35 seconds
    Path 62: Length = 2.94 units, Duration = 0.13 seconds
    Path 63: Length = 4.3 units, Duration = 0.29 seconds
    Path 64: Length = 3.73 units, Duration = 0.15 seconds
    Path 65: Length = 3.5 units, Duration = 0.21 seconds
    Path 66: Length = 4.01 units, Duration = 0.25 seconds
    Path 67: Length = 3.66 units, Duration = 0.32 seconds
    Path 68: Length = 4.43 units, Duration = 0.25 seconds
    Path 69: Length = 4.32 units, Duration = 0.22 seconds
    Path 70: Length = 7.34 units, Duration = 0.18 seconds
    Path 71: Length = 2.58 units, Duration = 0.18 seconds
    Path 72: Length = 3.64 units, Duration = 0.22 seconds
    Path 73: Length = 3.6 units, Duration = 0.22 seconds
    Path 74: Length = 3.86 units, Duration = 0.3 seconds
    Path 75: Length = 3.45 units, Duration = 0.2 seconds
    Path 76: Length = 2.43 units, Duration = 0.42 seconds
    Path 77: Length = 2.89 units, Duration = 0.26 seconds
    Path 78: Length = 4.29 units, Duration = 0.17 seconds
    Path 79: Length = 3.34 units, Duration = 0.21 seconds
    Path 80: Length = 3.27 units, Duration = 0.35 seconds
    Path 81: Length = 3.97 units, Duration = 0.21 seconds
    Path 82: Length = 3.77 units, Duration = 0.27 seconds
    Path 83: Length = 3.51 units, Duration = 0.42 seconds
    Path 84: Length = 2.8 units, Duration = 0.28 seconds
    Path 85: Length = 3.57 units, Duration = 0.31 seconds
    Path 86: Length = 2.52 units, Duration = 0.25 seconds
    Path 87: Length = 5.64 units, Duration = 0.32 seconds
    Path 88: Length = 4.36 units, Duration = 0.2 seconds
    Path 89: Length = 3.69 units, Duration = 0.25 seconds
    Path 90: Length = 4.53 units, Duration = 0.15 seconds
    Path 91: Length = 3.91 units, Duration = 0.33 seconds
    Path 92: Length = 5.78 units, Duration = 0.24 seconds
    Path 93: Length = 3.59 units, Duration = 0.17 seconds
    Path 94: Length = 3.42 units, Duration = 0.35 seconds
    Path 95: Length = 3.48 units, Duration = 0.25 seconds
    Path 96: Length = 3.41 units, Duration = 0.21 seconds
    Path 97: Length = 3.56 units, Duration = 0.16 seconds
    Path 98: Length = 2.6 units, Duration = 0.17 seconds
    Path 99: Length = 3.58 units, Duration = 0.25 seconds
    Path 100: Length = 3.32 units, Duration = 0.15 seconds

Planner: PRMstar
  Status: Successful
  Total Time Taken: 504.05 seconds
  Number of Paths: 100
  Average Path Length: 1.9201000000000001
  Shortest Path Length: 1.88
  Longest Path Length: 1.98
  Path Length Std Dev: 0.02443337880850704
  Average Time Per Path: 5.0363999999999995 seconds
  Time Per Path Std Dev: 0.06378902726958617 seconds

  Paths:
    Path 1: Length = 1.89 units, Duration = 5.02 seconds
    Path 2: Length = 1.91 units, Duration = 5.03 seconds
    Path 3: Length = 1.92 units, Duration = 5.05 seconds
    Path 4: Length = 1.9 units, Duration = 5.02 seconds
    Path 5: Length = 1.91 units, Duration = 5.01 seconds
    Path 6: Length = 1.91 units, Duration = 5.04 seconds
    Path 7: Length = 1.94 units, Duration = 5.02 seconds
    Path 8: Length = 1.94 units, Duration = 5.01 seconds
    Path 9: Length = 1.92 units, Duration = 5.02 seconds
    Path 10: Length = 1.94 units, Duration = 5.04 seconds
    Path 11: Length = 1.95 units, Duration = 5.03 seconds
    Path 12: Length = 1.89 units, Duration = 5.02 seconds
    Path 13: Length = 1.93 units, Duration = 5.05 seconds
    Path 14: Length = 1.96 units, Duration = 5.01 seconds
    Path 15: Length = 1.91 units, Duration = 5.02 seconds
    Path 16: Length = 1.92 units, Duration = 5.01 seconds
    Path 17: Length = 1.9 units, Duration = 5.06 seconds
