Model: cuboids_0.7_0
Mesh: TriangleMesh with 223016 points and 334524 triangles.
Camera Bounds: (0.005, 0.005, 0.02)
Start Point: [-0.33  0.1  -0.44]
Goal Point: [ 0.22 -0.16 -0.44]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 10.37 seconds
  Number of Paths: 100
  Average Path Length: 0.723
  Shortest Path Length: 0.65
  Longest Path Length: 0.92
  Path Length Std Dev: 0.04982971001320397
  Average Time Per Path: 0.10009999999999998 seconds
  Time Per Path Std Dev: 0.0009949874371066195 seconds

  Paths:
    Path 40: Length = 1.09 units, Duration = 0.01 seconds
    Path 41: Length = 1.42 units, Duration = 0.01 seconds
    Path 42: Length = 1.31 units, Duration = 0.01 seconds
    Path 43: Length = 1.06 units, Duration = 0.02 seconds
    Path 44: Length = 1.0 units, Duration = 0.02 seconds
    Path 45: Length = 1.14 units, Duration = 0.01 seconds
    Path 46: Length = 0.93 units, Duration = 0.02 seconds
    Path 47: Length = 1.42 units, Duration = 0.02 seconds
    Path 48: Length = 1.16 units, Duration = 0.01 seconds
    Path 49: Length = 1.38 units, Duration = 0.02 seconds
    Path 50: Length = 1.37 units, Duration = 0.02 seconds
    Path 51: Length = 1.11 units, Duration = 0.02 seconds
    Path 52: Length = 1.14 units, Duration = 0.01 seconds
    Path 53: Length = 0.84 units, Duration = 0.01 seconds
    Path 54: Length = 1.56 units, Duration = 0.03 seconds
    Path 55: Length = 0.8 units, Duration = 0.01 seconds
    Path 56: Length = 1.0 units, Duration = 0.01 seconds
    Path 57: Length = 1.05 units, Duration = 0.02 seconds
    Path 58: Length = 1.09 units, Duration = 0.01 seconds
    Path 59: Length = 0.99 units, Duration = 0.01 seconds
    Path 60: Length = 1.23 units, Duration = 0.02 seconds
    Path 61: Length = 0.94 units, Duration = 0.02 seconds
    Path 62: Length = 1.0 units, Duration = 0.01 seconds
    Path 63: Length = 0.93 units, Duration = 0.01 seconds
    Path 64: Length = 0.98 units, Duration = 0.01 seconds
    Path 65: Length = 1.07 units, Duration = 0.01 seconds
    Path 66: Length = 0.95 units, Duration = 0.01 seconds
    Path 67: Length = 1.0 units, Duration = 0.01 seconds
    Path 68: Length = 0.97 units, Duration = 0.02 seconds
    Path 69: Length = 1.22 units, Duration = 0.01 seconds
    Path 70: Length = 0.79 units, Duration = 0.01 seconds
    Path 71: Length = 0.98 units, Duration = 0.01 seconds
    Path 72: Length = 1.3 units, Duration = 0.02 seconds
    Path 73: Length = 0.84 units, Duration = 0.01 seconds
    Path 74: Length = 0.79 units, Duration = 0.01 seconds
    Path 75: Length = 1.24 units, Duration = 0.02 seconds
