Model: stonehenge
Mesh: TriangleMesh with 10995 points and 18402 triangles, and textures of size (4096, 4096) (2048, 2048) (1024, 1024) (2048, 2048) (1024, 1024) (2048, 2048) (2048, 2048) (2048, 2048) 
Ellipsoid Dimensions: (0.025, 0.025, 0.04)
Start Point: [-1.24  0.31  0.08]
Goal Point: [ 0.46 -0.79  0.08]
Max Time Per Path: 5

Planner: PRM
  Status: Successful
  Total Time Taken: 11.64 seconds
  Number of Paths: 100
  Average Path Length: 2.2478
  Shortest Path Length: 2.08
  Longest Path Length: 2.75
  Path Length Std Dev: 0.15726779708509941
  Average Time Per Path: 0.1128 seconds
  Time Per Path Std Dev: 0.08858984140407974 seconds

  Paths:
    Path 99: Length = 2.15 units, Duration = 0.1 seconds
    Path 100: Length = 2.33 units, Duration = 0.1 seconds

Planner: LazyPRM
  Status: Successful
  Total Time Taken: 18.41 seconds
  Number of Paths: 100
  Average Path Length: 4.3201
  Shortest Path Length: 2.79
  Longest Path Length: 8.15
  Path Length Std Dev: 0.996041660775291
  Average Time Per Path: 0.18160000000000004 seconds
  Time Per Path Std Dev: 0.056828162032569726 seconds

  Paths:
    Path 1: Length = 5.27 units, Duration = 0.17 seconds
    Path 2: Length = 5.22 units, Duration = 0.14 seconds
    Path 3: Length = 4.3 units, Duration = 0.13 seconds
    Path 4: Length = 4.5 units, Duration = 0.23 seconds
    Path 5: Length = 4.75 units, Duration = 0.21 seconds
    Path 6: Length = 5.3 units, Duration = 0.27 seconds
    Path 7: Length = 5.68 units, Duration = 0.17 seconds
    Path 8: Length = 3.35 units, Duration = 0.09 seconds
    Path 9: Length = 3.38 units, Duration = 0.14 seconds
    Path 10: Length = 3.88 units, Duration = 0.14 seconds
    Path 11: Length = 5.01 units, Duration = 0.22 seconds
    Path 12: Length = 3.06 units, Duration = 0.12 seconds
    Path 13: Length = 3.72 units, Duration = 0.24 seconds
    Path 14: Length = 3.69 units, Duration = 0.14 seconds
    Path 15: Length = 4.43 units, Duration = 0.14 seconds
    Path 16: Length = 3.33 units, Duration = 0.19 seconds
    Path 17: Length = 3.67 units, Duration = 0.12 seconds
    Path 18: Length = 5.14 units, Duration = 0.15 seconds
    Path 19: Length = 3.2 units, Duration = 0.28 seconds
    Path 20: Length = 3.37 units, Duration = 0.17 seconds
    Path 21: Length = 4.54 units, Duration = 0.17 seconds
    Path 22: Length = 4.18 units, Duration = 0.13 seconds
    Path 23: Length = 3.98 units, Duration = 0.16 seconds
    Path 24: Length = 3.53 units, Duration = 0.18 seconds
    Path 25: Length = 5.69 units, Duration = 0.13 seconds
    Path 26: Length = 3.74 units, Duration = 0.16 seconds
    Path 27: Length = 5.15 units, Duration = 0.11 seconds
    Path 28: Length = 3.27 units, Duration = 0.15 seconds
    Path 29: Length = 5.28 units, Duration = 0.16 seconds
